שם,מספר כתבה,כותרת,צפיות,תאריך יצירה
יהודה רוזן,1072149,"מגישת ערוץ 14 נפרדת בכאב: ""בוכה כל היום. ברייק תרתי משמע""",3569,30/06/2025 01:53
רויטל ונונו,1072148,"מאור ברוכמן ביום שאחרי: ""עשיתי את המעשה הנורא מכל""",4780,30/06/2025 01:14
יהודה רוזן,1072147,הכתב הבכיר בתאגיד פנה בשברון לב וביקש עזרה - העיתונאים נענו לבקשה,885,30/06/2025 00:45
יהודה רוזן,1072144,"המשפטן ה""כוכב"" קורא לסנקציות: ""הם מבינים רק כוח, נקודה""",788,30/06/2025 00:07
רויטל ונונו,1072143,"מודחת רוקדים עם כוכבים מגיבה: ""אם לא הייתי טיפשה""",11316,30/06/2025 00:01
יהודה רוזן,1072142,טראמפ מטיל פצצה עסקית וחושף: נמצא קונה לטיקטוק ,542,29/06/2025 23:53
ירון שמאי,1072140,כוכב הטלוויזיה האגדי משנות ה-80' עבר מהפך: כך הוא נראה היום,553,29/06/2025 23:08
גיא מויאל,1072139,באמצעות AI: הפיצ'ר החדש של פייסבוק שחודר לגלריית התמונות,425,29/06/2025 22:50
ירון שמאי,1072138,לקוחות הסופרים בהלם: מוצר הצריכה הבסיסי התייקר בעשרות אחוזים,4324,29/06/2025 22:44
גיא מויאל,1072137,איילת שקד תחזור לפוליטיקה? כך תועדה השרה לשעבר,525,29/06/2025 22:31
שרון בירקמן,1072025,מה לעשות עם הכסף? לומברד אודייר מעדכנים את אסטרטגיות ההשקעה,482,29/06/2025 22:14
ירון שמאי,1072135,רכבת ישראל בפרויקט ענק: שיבושים בתחנות וסגירת נתיבי איילון,3706,29/06/2025 22:02
גיא מויאל,1072136,"אייל ברקוביץ' מייעץ לנתניהו: ""לא הגיע הזמן לסיים את הסיפור?""",424,29/06/2025 21:56
יהונתן פרי,1072134,"בלידת מים: זו כוכבת ""המירוץ למיליון"" שהפכה לאמא",628,29/06/2025 21:47
גיא מויאל,1072133,"ההחלטה על מופע הפסטיגל מעוררת זעם: ""זאת שערורייה חסרת תקדים""",443,29/06/2025 21:26
יהונתן פרי,1072132,הפרשן הפוליטי חושף: רק דבר אחד מפריד ביני ובין ערוץ 14,625,29/06/2025 21:20
ירון שמאי,1072131,מאור ברוכמן חוזרת: מודחת האח הגדול תשוב למסך כבר בקרוב,9441,29/06/2025 21:02
גיא מויאל,1072130,"ראש העיר אסר על מכירת עיתון ""הארץ"": הודיע מה יקרה לחנות שתמכור",912,29/06/2025 21:00
יהונתן פרי,1072127,"אמזון, דוריטוס ויוניברסל בפנים: מי הישראלית שמשגעת את העולם?",350,29/06/2025 20:40
יהודה רוזן,1072128,"בגיל 58: הפרופ' הישראלי המפורסם קיבל את הבשורה המרה בחייו - ""בוכה""",4595,29/06/2025 20:39
טל גורן,1071952,ענקיות ההשקעות בתחזית אופטימית: מדדי המניות יטפסו לשיאים חדשים,460,29/06/2025 20:36
ירון שמאי,1072126,"רוברט קיוסאקי בהמלצה דרמטית: ""תשקיעו בזה מהר, הולך להתפוצץ""",2232,29/06/2025 20:31
גיא מויאל,1072125,לאחר ההודעה של שר החינוך: אלו התלמידים שמחויבים לגשת לבגרויות,212,29/06/2025 20:25
יהונתן פרי,1072124,אלמוג כהן מתפטר מהממשלה - זה הצעד הבא שלו,375,29/06/2025 20:18
יהונתן פרי,1072120,"המקרה המזעזע נחשף: ""דקר אותה בישבנה כדי שלא תקיים מין יותר""",985,29/06/2025 19:55
רפאל בן זקרי,1072107,ענקית הטכנולוגיה חושפת: כלי ה-AI שייצור לכם שירים בתוך דקות,348,29/06/2025 19:53
כפיר אדר,1072122,מאור ברוכמן מגיבה לראשונה לחבר שטינף: ''מה שעשיתי הפריע לו'' ,12446,29/06/2025 19:52
גיא מויאל,1072123,לברון ג'יימס ישבור שיא בגיל 40: חתם על חוזה עתק,516,29/06/2025 19:46
כפיר אדר,1072119,הוראה חדשה לבנקים בישראל: העמלה המרגיזה עומדת להתבטל,1204,29/06/2025 19:31
רפאל בן זקרי,1072102,הגלקסי המתקפל דלף במלואו: זו ההפתעה ששומרת סמסונג להשקה?,412,29/06/2025 19:25
ירון שמאי,1072118,חברת הענק הישראלית קורסת: החובות הגיעו ל-1.75 מיליארד שקל,7985,29/06/2025 19:21
גיא מויאל,1072116,רותם סלע נחשפת: הצצה לסדרת הדוקו ריאליטי החדשה בנטפליקס,548,29/06/2025 19:17
יהודה רוזן,1072117,אחרי ההתפוצצות בשידור עם ינון מגל: בן כספית מקבל החלטה מפתיעה ,996,29/06/2025 19:17
יהונתן פרי,1072115,"יאיר גולן על החטופים: ""בני ערובה לאינטרסים של נתניהו""  ",229,29/06/2025 19:13
יהונתן פרי,1072111,"אביגדור ליברמן נכנס בעופר כסיף: ""שילך לעזה - שם מקומו""",333,29/06/2025 18:56
כפיר אדר,1072112,בית החולים סורוקה בהודעה חשובה: האם יחזור לפעילות?,405,29/06/2025 18:53
גיא מויאל,1072114,"זעם כלפי תאגיד השידור: ""הצגת הסצנות הפוגעניות והבלתי מוסריות""",534,29/06/2025 18:52
אפרת בבג'ני,1072113,"זוכת ""האח הגדול"" מאוכזבת: ""מותר להתבאס ומותר לבכות""",1060,29/06/2025 18:49
אפרת בבג'ני,1072064,גברו הסיכויים להורדת הריבית בישראל: מתי זה צפוי לקרות?,2772,29/06/2025 18:36
