שם,מספר כתבה,כותרת,צפיות,תאריך יצירה
יהודה רוזן,1049457,פחד בטיסת אל על: הטיסה נחתה באופן בלתי צפוי בטורקיה ,30093,30/01/2025 23:29
רפאל בן זקרי,1049456,אפל עקפה את התחזיות – אבל נתון אחד מעיב על החגיגה,616,30/01/2025 23:24
רפאל בן זקרי,1049458,אינטל מפתיעה את השוק ברבעון האחרון: אלו התחזיות המאכזבות,658,30/01/2025 23:12
דידי אלאלוף,1049453,"אילנית לוי מתפוצצת: ""מיץ של זבל, מקקים עלובים פחדנים""",3679,30/01/2025 23:01
אפרת בבג'ני,1049454,"מגישת ערוץ 13 נשברת: ""זה פירק אותי סופית, מרגש כל כך""",315,30/01/2025 22:50
דידי אלאלוף,1049444,"אלין גולן: ""סרטון שאין להסביר במילים מה הוא עושה לגוף""",13900,30/01/2025 22:47
כפיר אדר,1049446,המיליארד היהודי מרגש: מי נתפס מחלקות 500 שקל לכל חייל?,1124,30/01/2025 22:10
יהודה רוזן,1049449,החטופות שבו והזוועות בשבי נחשפות: מה באמת עבר עליהן?,784,30/01/2025 22:09
דידי אלאלוף,1049448,אבל בעולם התרבות: הכוכבת והאקסית של הזמר המפורסם הלכה לעולמה,1657,30/01/2025 22:02
אפרת בבג'ני,1049445,הותר לפרסום: לוחם בסיירת חרוב נפל בהיתקלות בג'נין | כל הפרטים,232,30/01/2025 21:25
אפרת בבג'ני,1049442,"הסטארט-אפ הישראלי מציג שינויים בצמרת: ""מנהלות בכירות עם ניסיון""",525,30/01/2025 20:58
כפיר אדר,1049429,"משרד הבריאות באזהרה חמורה: ""לבדוק צורך בקבלת טיפול מונע""",761,30/01/2025 20:54
אפרת בבג'ני,1047480,"איש השיווק של השנה: נדב חנין - סמנכ""ל שיווק ודיגיטל באל על",1893,30/01/2025 20:46
יהודה רוזן,1049441,"לא ייאמן: ""יותר טוב"" - הפסקול של ישראל שהגיע אל החטופות במנהרות",449,30/01/2025 20:41
אפרת בבג'ני,1049440,בהיקף של כ-156 מיליון שקל: קבוצת גאון זכתה במכרז בעיר המבוקשת,543,30/01/2025 20:29
יהודה לוינגר,1049154,"סמנכ""ל הבורסה: ""אנחנו בתחילתה של מהפכה עם הדור הצעיר ושוק ההון""",3253,30/01/2025 20:27
כפיר אדר,1049432,מכה ליעקב שחר: בעלה של נטע אלחמיסטר בדרך לפרישה?,890,30/01/2025 20:26
אפרת בבג'ני,1049438,"דניאל גרינברג הפתיעה את ילדיה: ""הוא מת כי הוא היה חולה""",1015,30/01/2025 20:08
כפיר אדר,1049405,"קינדר, נוטלה ופררו רושה יתייקרו: היבואן מעלה את המחירים",812,30/01/2025 19:50
כפיר אדר,1049434,"מוקי מתפוצץ: ""זה לא עם, זה מיץ של אשפה""",1285,30/01/2025 19:49
דודי לוי,1049435,"לשכת עורכי הדין משיבה מאבק: ""זה חריג ופסול מיסודו""",556,30/01/2025 19:33
כפיר אדר,1049430,"מגישת חדשות 13 המתפטרת נפרדת: ""אפשר גם לחייך""",4422,30/01/2025 19:25
יהודה רוזן,1049436,המופע שהסתיים באימה: צפו בדרמה כשהדג הענקי תקף את הרקדנית,503,30/01/2025 19:10
כפיר אדר,1049419,רגע מרגש בחדשות 12: הכתבת האהובה הונפה על הכתפיים,426,30/01/2025 18:54
כפיר אדר,1049378,"אופירה אסייג מזועזעת: ""בא לי לחבק אותך, שיישרפו""",782,30/01/2025 18:54
כפיר אדר,1049415,שי לי עופרי ושניר בורגיל נפרדים? הקאמבק קרס אחרי חודש,1081,30/01/2025 18:53
דידי אלאלוף,1049426,"מגיש ערוץ 14 זועם על הפרשה: ""עדיין בכלא, טפי עליכם""",757,30/01/2025 18:51
יהודה רוזן,1049431,"סוכרת, רגע לפני: כך תזהו את האותות שהגוף שולח",521,30/01/2025 18:46
אפרת בבג'ני,1049433,"סיכום המסחר בבורסה: עליות במדדים המרכזיים, רמי לוי בהישג ענק",497,30/01/2025 18:43
שרון בירקמן,1049334,חברת החשמל יצאה מרשימת המעקב השלילית של S&P - והדירוג?,478,30/01/2025 18:33
הדר הראל,832497,דפלציה - מהי ולמה היא נוצרת?  ,5841,30/01/2025 18:27
הדר הראל,833155,מהי אופציה במניות ואיך מממשים אותה?,6616,30/01/2025 18:27
יהודה רוזן,1049428,מכה לנהגים: כבישים מרכזיים יחסמו לתנועה ושיבושי תנועה בעיר הזו,597,30/01/2025 18:12
כפיר אדר,1049397,"בגיל 44: הח""כ שמחה רוטמן קיבל את הבשורה המרה בחייו",121340,30/01/2025 18:11
כפיר אדר,1049424,מכונת האמת מטילה פצצה: ראש הממשלה לשעבר יגיע לראיון,1760,30/01/2025 17:45
אפרת בבג'ני,1049422,"דני קושמרו חוטף ממגיש ערוץ 14: ""הוא לא עיתונאי, הוא מעצב תודעה""",26812,30/01/2025 17:32
אפרת בבג'ני,1049425,"כתבת חדשות 12: ""ניר דבורי הימם את המערכת, לא הגיע לעבודה""",5804,30/01/2025 17:30
דידי אלאלוף,1049423,"פרשת מאמן הכושר והסרטונים מיבנה: מציצים, גרסת עידן הטכנולוגיה ",1749,30/01/2025 17:29
כפיר אדר,1049417,"מענק של 4,500 שקל ותוספת שכר: אלו העובדים שירוויחו בענק",785,30/01/2025 17:18
כפיר אדר,1049401,דני קושמרו נחשף: זה מה שהוא באמת לובש מתחת לשולחן,1044,30/01/2025 16:50
כפיר אדר,1049421,"עוד נוק אאוט מיותר לענף הנדל""ן: זה מה שיקרה ב-2025",1042,30/01/2025 16:49
כפיר אדר,1049420,ריקול לשוקולדים האהובים בישראל: זה המותג שיורד מהמדפים,44712,30/01/2025 16:47
אפרת בבג'ני,1049418,"לאחר הפסקת האש - הקניון בצפון במינוי מסקרן: זו המנכ""לית החדשה",399,30/01/2025 16:39
יהודה לוינגר,1049414,אופירה אסייג דרשה שיתפטר ותקפה אותו - עכשיו היא בבית הנשיא,1054,30/01/2025 16:28
אפרת בבג'ני,1049416,"הקריפטו היומי: מגמה חיובית בשוק, מה קרה למטבע הביטקוין?",333,30/01/2025 16:21
כפיר אדר,1049337,אחרי 40 שנה: זו הסדרה שעומדת לחזור למסך שלכם,1338,30/01/2025 16:17
אורטל כהן,1049413,,0,30/01/2025 16:07
אורטל כהן,1049411,חזרת החטופים: שינויים בלוח השידורים של רשת 13,4141,30/01/2025 16:05
שרון בירקמן,1049410,צ'ק פוינט חושפת: התחזית של ההכנסות לשנת 2025,578,30/01/2025 16:00
אפרת בבג'ני,1049412,"אחינועם ניני חוטפת: ""שמאלנית קיצונית מופרעת""",1785,30/01/2025 15:56
כפיר אדר,1049395,פרשת מאמן הכושר וסרטוני המין מיבנה: מי הזכאים לפיצויים?,1124,30/01/2025 15:51
אורטל כהן,1049408,"סתיו קצין מבקשת: ""תתפללו עליי, צריכה לעבור ניתוח""",40663,30/01/2025 15:43
יהודה לוינגר,1049380,אלפרד אקירוב מפנק: כמה מרוויח יורש העצר של האימפריה - ג'ורג'י?,1979,30/01/2025 15:30
ענת סימן טוב,1049409, השוקולד האהוב מתייקר ב-30%: זה מה שיקרה החל מה-1.2  ,4490,30/01/2025 15:29
אורטל כהן,1049390,שווארמה בתוך שקית  - זה הטרנד שכבש את הישראלים,848,30/01/2025 15:20
אפרת קרסנר,1049403,"גל מלכה על בני משפחת ביבס: ""בבקשה שהם בחיים""",1017,30/01/2025 15:18
אפרת בבג'ני,1049406,צניחה של כ-31% בצריכת הדלק הסילוני לתעופה האזרחית | זו הסיבה,369,30/01/2025 15:14
יהודה לוינגר,1049400,בגיל 70: פנינה רוזנבלום נפרדת ועוזבת את הבית,200869,30/01/2025 15:11
שרון בירקמן,1049402,,0,30/01/2025 14:59
כפיר אדר,1049388,מישל טרוני נושם לרווחה: זו ההחלטה הדרמטית של בית המשפט,693,30/01/2025 14:57
אפרת בבג'ני,1049393,פרשת DeepSeek: כשהמערב משתף פעולה עם אסטרטגיית האויב,715,30/01/2025 14:55
רעי שני,1049399,"אשטרום נכסים במינוי בכיר: זו הסמנכ""לית החדשה שמצטרפת לחברה",1425,30/01/2025 14:52
אפרת קרסנר,1049396,"אופירה עוקצת את חיים לוינסון: ""ככה התחילה הקריירה שלי איתך""",303,30/01/2025 14:48
ענת סימן טוב,1049398, הנתונים נחשפים: באיזה עיר קנו הכי הרבה סמסונג S25?  ,710,30/01/2025 14:42
ענת סימן טוב,1049392,אל על במחווה מרגשת: זה מה שקרה היום עבור אגם ברגר  ,1512,30/01/2025 14:36
רעי שני,1049386,בנק הפועלים בבשורה קשה ללקוחות: זה מה שיקרה מהיום בסניפים,1709,30/01/2025 14:33
אפרת קרסנר,1049391,"מינדי מ""חתונמי"" יודעת? המהלך המסקרן של הבן שלה",4498,30/01/2025 14:30
