שם,מספר כתבה,כותרת,צפיות,תאריך יצירה
רויטל ונונו,1085543,"כוכבת הפטריוטים מתחזקת: ""שמרתי שבת. זה היה כיף גדול""",509,30/09/2025 01:58
רויטל ונונו,1085542,בלבול בווטסאפ: למה אתם לא מצליחים לשלוח איש קשר?,2986,30/09/2025 00:55
רויטל ונונו,1085541,שנתיים אחרי שעזבו את הארץ: פאולה וליאון רוזנברג עוברים למיקום חדש,35735,30/09/2025 00:27
יהודה רוזן,1085540,מהפכה שקטה בבנייה: התקנות החדשות כבר על השולחן,445,29/09/2025 23:50
רויטל ונונו,1085539,"כתבת חדשות 12 על תוכנית טראמפ: ""צריך תוכנית שהצד השני יסכים לה""",541,29/09/2025 23:47
יהודה רוזן,1085538,"וול סטריט ננעלה בעליות: הזהב מזנק, הנפט מתרסק",422,29/09/2025 23:34
יהונתן פרי,1085536,"מנכ""ל חדש לענקית הסייבר הישראלית: ""נרגש לשלב הבא""",437,29/09/2025 23:00
ירון שמאי,1085537,"רוברט קיוסאקי: ""תשקיעו בזה 100 דולר – ותקבלו 500 תוך שנה""",39793,29/09/2025 22:58
יהונתן פרי,1085535,"ענקית האנרגיה הישראלית בהסכם אדיר באירופה: ""מבסס את מעמדנו""",375,29/09/2025 22:32
יהונתן פרי,1085534,"דרור קליר חושש: ""משלמים כסף כדי לפגוע בי""",930,29/09/2025 22:11
ירון שמאי,1085533,"רוני מאנה מבטיח: ""ביבי יובס בבחירות, לקקני ערוץ 14 יחפשו עבודה""",3697,29/09/2025 22:08
יהונתן פרי,1085531,אייל ברקוביץ' בדרך החוצה: זו הסערה שמטלטלת את עולם התקשורת,30837,29/09/2025 21:46
אפרת בבג'ני,1085527,"טראמפ: ""יום היסטורי לשלום"". נתניהו: ""תומך בתוכנית לסיום המלחמה""",389,29/09/2025 21:19
אפרת בבג'ני,1085530,בנק דיסקונט בתחזית מפתיעה: זה מה שיקרה לריבית בנק ישראל ב-2026,562,29/09/2025 21:07
רוי שיינמן,1085429,"הבנק האמריקאי בהמלצה מפתיעה: המניה ""המשעממת"" שכדאי לקנות",460,29/09/2025 21:06
כפיר אדר,1085485,כוכבת האח הגדול נפרדת בכאב אחרי טרגדיה גדולה: ''בלב שבור'',489,29/09/2025 21:03
יהונתן פרי,1085529,"משפחת אקרשטיין הכריעה: זה המנכ""ל החדש של הקבוצה ",1077,29/09/2025 20:54
יהודה רוזן,1085528,מרכז מסחרי חדש בסמוך לכור בדימונה - מי הרוכשת המפתיעה?,362,29/09/2025 20:49
כפיר אדר,1085484,"כוכב הפטריוטים הותקף באלימות ברחוב: ""מכרת את נשמתך לערוץ 14""",549,29/09/2025 20:47
יהונתן פרי,1085526,"יאיר גולן מגיב לראשונה על התנצלות נתניהו: ""משת""פ של חמאס וקטאר""",820,29/09/2025 20:42
אפרת בבג'ני,1085525,"חברת PHI מציגה שינויים בצמרת: זה המנכ""ל החדש",537,29/09/2025 20:35
איציק יצחקי,1085472,"נגיד בנק ישראל בראיון: ""משק אוטרקי? שמח שנתניהו חזר בו""",486,29/09/2025 20:20
יהונתן פרי,1085524,"ליהיא גרינר נגד ה-MeToo: ""הכל זה הטרדה. WTF""",218,29/09/2025 20:18
ירון שמאי,1085522,רשת הפיצריות המפורסמת נמכרת במיליוני שקלים – ותשלש את סניפיה,1288,29/09/2025 20:13
אפרת בבג'ני,1085523,נתניהו שוחח עם ראש ממשלת קטאר: התנצל על התקיפה הישראלית בדוחא,234,29/09/2025 20:09
יהודה רוזן,1085521,הנתונים שחושפים מי באמת מסתבך בחובות בישראל,333,29/09/2025 20:08
יהונתן פרי,1085520,"מאור ברוכמן במהלך ציני - מבקשת סליחה מדיירי ""האח הגדול""",582,29/09/2025 19:54
אפרת בבג'ני,1085519,"מלי לוי מתחזקת בדת? ""אני מרגישה את השכינה ככוח שמרים אותי""",322,29/09/2025 19:45
יהונתן פרי,1085518,עולם הכדורגל בתדהמה: זה השינוי שיחסוך מיליוני דולרים?,627,29/09/2025 19:42
כפיר אדר,1085512,"שרון גל בתביעת ענק: ממי הוא דורש 350,000 שקל פיצוי?",964,29/09/2025 19:33
אפרת בבג'ני,1085517,"כוכבת ""האח הגדול"" מותקפת: ""אין לי מושג איך לעצור את זה""",661,29/09/2025 19:18
כפיר אדר,1085514,"עצומה נגד שידור הסדרה של קשת 12: ""ניתוק והתמסחרות, לא יעברו בשתיקה''",3306,29/09/2025 19:11
כפיר אדר,1085470,אברי גלעד בהצעה מפתיעה: ''אני מעוניין שהם יטבעו בים'',625,29/09/2025 19:03
יהונתן פרי,1085516,ארז איסקוב לא עוצר: זה הפרויקט שיוצא לדרך בהובלתו,1039,29/09/2025 18:53
אפרת בבג'ני,1085515,אושר - תקרת הגירעון תועלה ל-5.2%: זה הסכום שיועבר למשרד הביטחון,236,29/09/2025 18:45
כפיר אדר,1085478,אחרי 8 שנים: אחת המסעדות האהובות והייחודיות בישראל נסגרת,17687,29/09/2025 18:44
צוף צימרינג,1085502,הכוכב הבא של ישראל? ריאליטי מוזיקה ראשון בחברה הערבית,441,29/09/2025 18:40
יהונתן פרי,1085513,מקרה מזעזע במרכז הארץ: מנהל חשוד שהטריד מינית 4 קטינים,457,29/09/2025 18:30
אפרת בבג'ני,1085511,"סיכום המסחר בבורסה: ירידות במדדים, אלו המניות שצנחו ביותר מ-4%",380,29/09/2025 18:18
רעי שני,1085476,ענקית הרכב קורסת בחובות של מיליארדים: תכריז על פשיטת רגל,835,29/09/2025 18:14
יהונתן פרי,1085510,נהגי המוניות בצעד חסר תקדים: כך ילחמו באובר ובמירי רגב,457,29/09/2025 18:07
אפרת בבג'ני,1085509,נטפליקס סופגת מכה: טראמפ יטיל מכס של 100% על סרטים זרים,295,29/09/2025 17:56
כפיר אדר,1085477,המסעדה האהובה נסגרת מיידית: ''עלולים להיות מעורבים באירועים ביטחוניים'',229,29/09/2025 17:51
כפיר אדר,1085466,הקלה חדשה לנהגים בישראל: זו המהפכה שמתוכננת בטסטים,446,29/09/2025 17:44
אפרת בבג'ני,1085507,"ינון מגל מסתבך? ""קרא להפעיל אלימות נגדנו, נגיש תביעה""",688,29/09/2025 17:34
יהונתן פרי,1085508,"תרצה כהן לא נחה: זה המהלך המשמעותי שלה אחרי ""האח הגדול""",1915,29/09/2025 17:33
צוף צימרינג,1085505,הישג בינלאומי ליוניברסל מיוזיק פאבלישינג ישראל: זו הסיבה,267,29/09/2025 17:23
כפיר אדר,1085464,הסוף לבעיות החיבור לאינטרנט בכביש? זה השדרוג שעומד להכנס,358,29/09/2025 17:22
יהודה לוינגר,1085500,הקרב החם בטלוויזיה כבר בקרוב: סלקום TV+ יוצא לדרך - וככה זה נראה,1211,29/09/2025 17:09
יהונתן פרי,1085503,"איתות בבית הלבן: ""קרובים מאוד לעסקה. דיברנו ישירות עם חמאס""",195,29/09/2025 17:09
כפיר אדר,1085504,תקלת ענק בנתב''ג: חברות התעופה מדווחות על עומס ועיכובים,8167,29/09/2025 17:05
כפיר אדר,1085462,שדרות רוקח נסגרת הרמטית לתנועה: זה מה שיקרה ב-16.10,355,29/09/2025 16:55
אפרת בבג'ני,1085499,"סערת ריבית בנק ישראל: ""ההחלטה מאכזבת, מקשה על רוכשי הדירות""",807,29/09/2025 16:32
איציק יצחקי,1085501," מנכ""ל בנק לאומי: ""ריבית הפריים תישאר מופחתת ב-0.25%, נעזור ללקוחות""",356,29/09/2025 16:30
יהונתן פרי,1085498,זה סופי: Electronic Arts עוברת לבעלות ערבית תמורת 55 מיליארד דולר,403,29/09/2025 16:29
רוי שיינמן,1085494,בנק ישראל חותך את התחזיות - זו הצמיחה הצפויה במשק השנה,366,29/09/2025 16:25
איציק יצחקי,1085495,"משקיעי הנדל""ן קנו דירות בשכונה הזאת - עכשיו הם ירוויחו",366,29/09/2025 16:20
אפרת בבג'ני,1085496,חשוב דויטשה בנק,0,29/09/2025 16:18
כפיר אדר,1085460,הראל ויזל מתרחב לעיר חדשה: איפה יוקם השייק שאק החדש?,576,29/09/2025 16:16
אפרת בבג'ני,1085491,"שרה נתניהו סופגת עקיצה בשידור חי: ""התמוטטות אייקונית""",8025,29/09/2025 16:12
